reservacionid,customerid,nombre,apellido,correo,correo_valido,numero,fechahora_reservacion,nasistentes,mesa,estado,plataformareserva,especificaciones,hora,dia_semana,Cluster
2209,CUST197,Debra,Erickson,karen48@example.org,True,1513293723.0,2025-12-09 20:15:00,10,28,Confirmado,App,Trouble set many member.,20,1,2
1134,CUST629,Jimmy,Coleman,msmith@example.org,True,7515548994.0,2025-12-10 13:00:00,7,21,Confirmado,Teléfono,Ninguna,13,2,2
3603,CUST426,Amanda,Baker,stephanie86@example.net,True,,2025-12-10 14:15:00,7,15,Cancelado,Teléfono,Ninguna,14,2,2
132,CUST1888,Tiffany,Ochoa,no_proporcionado,False,1363664660.0,2025-12-10 15:30:00,8,14,Cancelado,App, Structure save field concern. ,15,2,2
888,CUST1845,Dana,Mclaughlin,stephen89@email..com,True,5666456608.0,2025-12-10 17:00:00,7,18,Pendiente,App,Ninguna,17,2,2
1675,CUST831,Taylor,Jones,erin79@example.com,True,1606374761.0,2025-12-10 19:15:00,1,17,Confirmado,Sitio Web,Federal those road participant result consider.,19,2,0
3545,CUST1463,Charles,Khan,sevans@example.org,True,1254912171.0,2025-12-10 19:30:00,9,27,Confirmado,App,  ,19,2,2
922,CUST1853,Christina,Munoz,no_proporcionado,False,2717533899.0,2025-12-10 19:45:00,10,3,Confirmado,App,Senior apply half.,19,2,2
3637,CUST291,Daniel,Smith,igriffith@example.com,True,4330801674.0,2025-12-10 21:30:00,7,3,Confirmado,App,Ninguna,21,2,2
147,CUST1159,Cynthia,Daniels,lisagray@example.org,True,4134008361.0,2025-12-11 15:45:00,4,13,Cancelado,Sitio Web,Little charge event painting big.,15,3,1
442,CUST157,Deborah,Mullins,laurie37@example.com,True,5264504595.0,2025-12-12 12:15:00,8,23,Confirmado,Teléfono,Ninguna,12,4,1
2025,CUST1242,Jeff,Hampton,carsontammy@example.com,True,7117019392.0,2025-12-12 13:30:00,9,10,Confirmado,App,  ,13,4,1
1081,CUST1159,Brittany,Moody,carolcoleman@example.com,True,9821919816.0,2025-12-12 15:30:00,9,7,Confirmado,Teléfono,  ,15,4,1
2292,CUST1606,Paula,Bowen,angelagross@example.org,True,405892051.0,2025-12-12 20:45:00,9,5,Pendiente,Sitio Web,Local teach on seem produce score.,20,4,1
461,CUST809,Alison,Roberson,no_proporcionado,False,6401410292.0,2025-12-13 16:00:00,1,30,Pendiente,Teléfono,Ninguna,16,5,0
2951,CUST513,Bruce,Sloan,michael25@example.net,True,6268173758.0,2025-12-14 16:30:00,9,11,Cancelado,Teléfono,Something force billion purpose garden.,16,6,1
2584,CUST530,Allen,Mcbride,william07@example.org,True,4466926194.0,2025-12-14 17:15:00,3,30,Confirmado,Teléfono,Ninguna,17,6,0
2206,CUST1644,Edward,Kelly,kthompson@example.org,True,5910920772.0,2025-12-14 19:30:00,6,11,Confirmado,Sitio Web,Ninguna,19,6,1
372,CUST1220,Paul,Jackson,oconnorkevin@example.com,True,,2025-12-14 20:30:00,9,7,Pendiente,App,Arm half dinner we compare if.,20,6,1
2774,CUST1570,Kara,Martin,zvaughn@example.net,True,955913890.0,2025-12-15 14:00:00,8,8,Confirmado,Teléfono,Ninguna,14,0,2
3891,CUST841,Anna,Williams,kathy65@example.net,True,,2025-12-15 17:15:00,1,20,Confirmado,Teléfono, Minute item join face. ,17,0,0
166,CUST12,Tamara,Frederick,no_proporcionado,False,,2025-12-16 18:00:00,6,7,Confirmado,Teléfono,Ninguna,18,1,2
3593,CUST609,Connor,Hawkins,yallen@example.com,True,4540765805.0,2025-12-16 18:15:00,1,20,Pendiente,App,Among clearly generation among study address.,18,1,0
3289,CUST717,Renee,Miller,fschmidt@example.com,True,9066240497.0,2025-12-17 12:45:00,1,28,Confirmado,App,Ninguna,12,2,0
3452,CUST1524,Gary,Lee,no_proporcionado,False,1632357735.0,2025-12-17 15:00:00,2,14,No Presentado,Sitio Web,Notice course population hold then.,15,2,0
3134,CUST843,Alisha,Gomez,ssanchez@example.org,True,,2025-12-17 15:15:00,5,7,Confirmado,Teléfono,Ninguna,15,2,1
2048,CUST1750,Melanie,Price,marvinwilliams@example,False,8814123989.0,2025-12-17 16:30:00,8,16,Confirmado,Teléfono,Note also cost include security authority.,16,2,2
744,CUST677,Ryan,Ingram,natalie10@email..com,True,8693115699.0,2025-12-17 17:45:00,8,21,Confirmado,App,Ninguna,17,2,2
58,CUST590,Ronald,Evans,no_proporcionado,False,,2025-12-17 20:00:00,8,19,No Presentado,Teléfono,Fund memory wonder time.,20,2,2
275,CUST1585,Susan,Martin,debraharris@email..com,True,413626707.0,2025-12-17 21:15:00,9,8,Cancelado,Otra,Ninguna,21,2,2
2177,CUST409,Marco,White,andrewchandler@example.org,True,6713724381.0,2025-12-17 21:45:00,3,10,Confirmado,Sitio Web,Provide fast month wind language like.,21,2,0
3997,CUST1697,Robert,Myers,gabrielle42@example.net,True,1913729681.0,2025-12-18 13:45:00,4,30,Pendiente,Teléfono,Financial those look.,13,3,0
1174,CUST1999,Victor,Higgins,lpruitt@example.com,True,4554645533.0,2025-12-18 16:15:00,1,29,Confirmado,App,Ninguna,16,3,0
2725,CUST226,Kenneth,Douglas,rebeccasmith@example.org,True,4668146907.0,2025-12-18 19:15:00,2,30,Pendiente,Sitio Web,Ninguna,19,3,0
978,CUST1230,Mary,Stevens,vblack.com,False,7230801655.0,2025-12-19 12:15:00,7,4,No Presentado,Teléfono,Understand experience card race.,12,4,1
3257,CUST331,Rebekah,Castro,milessteven@example.com,True,9560411709.0,2025-12-19 14:45:00,1,6,Pendiente,App,Ninguna,14,4,1
3163,CUST797,Steven,Osborne,monicalee@example.org,True,9233456374.0,2025-12-19 15:15:00,5,10,Confirmado,Teléfono,Ninguna,15,4,1
380,CUST263,James,Hess,kcook@example.com,True,6618604875.0,2025-12-19 16:00:00,6,1,Pendiente,Teléfono,Job agree little allow most name.,16,4,1
446,CUST1599,Paul,Green,christopher28@email..com,True,2697178409.0,2025-12-19 20:15:00,6,23,Confirmado,Sitio Web,Ninguna,20,4,0
2262,CUST1831,Lucas,Medina,qtorres@example.com,True,9950763533.0,2025-12-20 14:15:00,5,18,Cancelado,Teléfono,Ninguna,14,5,1
2800,CUST1379,Sara,Castillo,allenapril@example.com,True,3425043556.0,2025-12-20 17:15:00,4,24,No Presentado,Teléfono,Ninguna,17,5,0
2000,CUST760,Mary,Wells,fgeorge@example.net,True,9383943960.0,2025-12-20 19:15:00,8,20,No Presentado,Teléfono,Ninguna,19,5,1
1450,CUST442,James,Sanders,jessica81@example.org,True,1623043716.0,2025-12-21 14:00:00,7,7,Confirmado,Teléfono,Ninguna,14,6,1
3782,CUST773,Tina,Cain,susansantos@example.net,True,,2025-12-21 14:00:00,8,16,Pendiente,Teléfono,Ninguna,14,6,1
654,CUST1051,Robert,Rivera,jonesjulia@example.com,True,1454599933.0,2025-12-21 15:00:00,10,1,Confirmado,Otra, Parent speech table. ,15,6,1
381,CUST380,Doris,Medina,no_proporcionado,False,4755597876.0,2025-12-21 15:45:00,5,20,No Presentado,Teléfono,Perhaps government rise detail on.,15,6,1
238,CUST1929,Laura,Delgado,no_proporcionado,False,8472201159.0,2025-12-21 18:30:00,6,1,Confirmado,Teléfono,Or enough stop job majority.,18,6,1
752,CUST303,Linda,Townsend,harristanya@example.com,True,4846817069.0,2025-12-22 16:15:00,9,9,Pendiente,App,Ninguna,16,0,2
912,CUST1230,Anthony,Johnson,mayerangela@example.com,True,2972347292.0,2025-12-22 21:00:00,10,11,Confirmado,Sitio Web,Entire have no market leader nearly.,21,0,2
3638,CUST1459,Shelby,Pacheco,sylvia06@example.net,True,,2025-12-22 21:30:00,6,5,Confirmado,Sitio Web,  ,21,0,2
1384,CUST223,William,Martinez,aboyd@example.com,True,7327586497.0,2025-12-24 15:45:00,1,2,Cancelado,Sitio Web,  ,15,2,1
1452,CUST653,Debbie,Estrada,elijah09@example.com,True,1602054849.0,2025-12-24 21:15:00,10,29,Confirmado,Teléfono,Ninguna,21,2,2
3246,CUST905,Nathan,Guerra,esmith@example.org,True,6908679550.0,2025-12-25 14:45:00,9,5,Pendiente,Otra,Bag meeting money position name notice.,14,3,1
714,CUST1552,Jacob,Thompson,erinwright@example.com,True,5131357259.0,2025-12-25 16:45:00,10,30,Pendiente,Otra,Ninguna,16,3,2
3103,CUST90,Bradley,Smith,kristenguzman@example.com,True,2524369072.0,2025-12-25 19:30:00,1,8,Cancelado,Sitio Web,Ninguna,19,3,0
866,CUST1680,Daniel,Reyes,andre91@example.net,True,2282866829.0,2025-12-25 22:00:00,1,1,Pendiente,Otra,Ninguna,22,3,0
125,CUST1459,Heather,Jenkins,alexis61@example.org,True,1970803819.0,2025-12-25 22:45:00,9,20,No Presentado,Teléfono,Ninguna,22,3,2
1218,CUST1805,Jacob,Mack,no_proporcionado,False,8965786502.0,2025-12-26 13:15:00,8,17,No Presentado,Sitio Web,  ,13,4,1
136,CUST1586,Angela,Cobb,beverlymorgan@example.com,True,4146118037.0,2025-12-26 17:30:00,6,13,Cancelado,App,Ninguna,17,4,1
533,CUST127,Michael,Montgomery,no_proporcionado,False,5861477709.0,2025-12-26 18:45:00,5,30,Confirmado,App,Ninguna,18,4,0
817,CUST423,Kathryn,Turner,no_proporcionado,False,1866764043.0,2025-12-27 15:30:00,3,7,Confirmado,Otra,Him great staff individual.,15,5,1
1291,CUST1059,Manuel,Martinez,rodriguezjerry@example.com,True,9128701150.0,2025-12-27 20:45:00,3,12,Cancelado,Teléfono,Ninguna,20,5,0
3699,CUST288,Heather,Raymond,ebrown@example.com,True,3813670765.0,2025-12-27 21:30:00,1,18,Confirmado,Teléfono,Ninguna,21,5,0
2525,CUST1314,Megan,Jackson,laurenedwards@example.org,True,8563676829.0,2025-12-28 16:00:00,4,25,Confirmado,App, Short practice agent knowledge thousand style. ,16,6,0
1509,CUST1896,Amber,Krueger,craig07@example,False,7913449238.0,2025-12-28 21:45:00,3,1,Cancelado,Otra,Ninguna,21,6,1
504,CUST623,Daniel,Nash,amber78@example.org,True,,2025-12-29 14:45:00,4,16,Pendiente,Teléfono,Recent spring land.,14,0,2
2485,CUST646,Eric,Avila,jonesamber@example.org,True,5360686174.0,2025-12-29 15:15:00,9,2,Confirmado,Otra,East four have describe.,15,0,2
1440,CUST786,David,Green,leedillon@example.com,True,3847251090.0,2025-12-29 18:15:00,5,4,Confirmado,Sitio Web,Economic let best.,18,0,2
732,CUST550,Jeff,Estes,jimenezamber@example.org,True,7030756269.0,2025-12-29 20:15:00,9,15,Confirmado,Teléfono,Ninguna,20,0,2
537,CUST178,Walter,Pace,scott14@example.org,True,,2025-12-29 20:45:00,8,19,Cancelado,App,Ninguna,20,0,2
1616,CUST210,Cindy,Russell,kiarahughes@example.org,True,745538377.0,2025-12-30 16:45:00,8,22,No Presentado,Otra,Ninguna,16,1,2
28,CUST927,Samantha,Potts,hernandezjennifer@example.com,True,9932365442.0,2025-12-30 17:30:00,10,3,Confirmado,Sitio Web, Heavy thing they four. ,17,1,2
1,CUST1973,Seth,Tran,johnhiggins@example.org,True,,2025-12-31 13:00:00,3,25,Confirmado,App,Where wish discover recently imagine either.,13,2,0
865,CUST1604,Aaron,Simmons,ismith@example.org,True,,2025-12-31 14:45:00,4,1,No Presentado,Teléfono,Ninguna,14,2,1
1911,CUST2000,John,Sanford,rarroyo@example.net,True,,2025-12-31 19:45:00,1,14,Pendiente,Otra,Many line activity turn operation where.,19,2,0
2746,CUST1336,Andrea,Vazquez,figueroaamber@example.net,True,5950894187.0,2025-12-31 20:15:00,10,8,Pendiente,Sitio Web,Sister high hear live sign within.,20,2,2
2171,CUST1021,Jessica,Lewis,banksjohn@example.com,True,8636146776.0,2025-12-31 21:30:00,4,20,No Presentado,Teléfono,Ask again team why color really.,21,2,0
3708,CUST1487,Alyssa,Cox,prussell@example.org,True,,2025-12-31 22:00:00,8,4,Cancelado,Sitio Web,Ninguna,22,2,2
2917,CUST490,Jennifer,Ward,no_proporcionado,False,9179178283.0,2026-01-01 15:15:00,7,5,No Presentado,App,Ninguna,15,3,1
2179,CUST197,Matthew,Greene,brownlaura@example.net,True,4925171962.0,2026-01-02 16:15:00,7,6,Confirmado,Sitio Web,Ninguna,16,4,1
754,CUST1684,Rebecca,Carroll,shawna04@example.net,True,3291619226.0,2026-01-02 17:15:00,9,17,Confirmado,App,  ,17,4,1
438,CUST12,Ashley,Porter,martha34@example.net,True,,2026-01-02 17:45:00,3,13,Confirmado,Sitio Web,Free sell day.,17,4,0
3070,CUST1349,Christine,Rocha,lhunter@example.com,True,7772327488.0,2026-01-03 12:45:00,5,25,No Presentado,Sitio Web,Industry region he.,12,5,1
1732,CUST1738,John,Simpson,david56@example.com,True,3038484549.0,2026-01-03 17:30:00,9,22,Pendiente,Teléfono,Enter far art rest grow suddenly.,17,5,1
1392,CUST1843,Douglas,Singh,heather89@example.net,True,3900177484.0,2026-01-03 19:00:00,8,18,Confirmado,Sitio Web,Foot analysis each next investment.,19,5,1
3634,CUST462,Corey,Leblanc,elizabethparker@example.com,True,2054331628.0,2026-01-05 12:15:00,3,1,Pendiente,Teléfono,None reduce beyond shoulder building door.,12,0,2
3841,CUST844,Stanley,Richardson,kurtdavidson@example.com,True,9799569441.0,2026-01-05 17:30:00,10,18,Cancelado,Teléfono,Ninguna,17,0,2
1314,CUST1194,Justin,Duke,troyfields@example.com,True,2897183265.0,2026-01-05 18:15:00,10,9,Confirmado,Teléfono,Ninguna,18,0,2
1821,CUST1547,Andrew,Johnson,wendysanchez@example.net,True,,2026-01-06 19:30:00,9,14,Pendiente,Sitio Web,Ninguna,19,1,2
3916,CUST1219,Antonio,Hogan,vanessafletcher@example.org,True,2684746765.0,2026-01-06 20:45:00,5,30,Confirmado,Teléfono,Suggest local probably scene your city.,20,1,0
1387,CUST1287,Vanea,Porter,no_proporcionado,False,5176284263.0,2026-01-06 21:45:00,8,26,Confirmado,App,Ninguna,21,1,2
1401,CUST1511,Brenda,Hanson,christytucker@example.net,True,2480406981.0,2026-01-07 13:30:00,2,10,Confirmado,App,Ninguna,13,2,1
2151,CUST266,Julie,Johnson,aramos@example.net,True,3815594005.0,2026-01-07 19:00:00,7,5,Confirmado,Teléfono,Ninguna,19,2,2
1882,CUST835,Jessica,Klein,jordanana@example.org,True,,2026-01-07 21:00:00,5,16,Cancelado,Teléfono,Ninguna,21,2,0
3987,CUST822,Elizabeth,Gomez,jnichols@example.net,True,7207569791.0,2026-01-07 22:45:00,4,9,Pendiente,App,Ninguna,22,2,2
1606,CUST1409,Thomas,Carter,rhoward@example.net,True,42422554.0,2026-01-08 14:15:00,6,28,Cancelado,Sitio Web,Ninguna,14,3,0
890,CUST1201,Ichael,Edwards,donna54@example.org,True,2568040312.0,2026-01-08 15:00:00,6,1,Confirmado,Teléfono,Should house order leader learn election.,15,3,1
1528,CUST1145,Douglas,Schwartz,no_proporcionado,False,328635747.0,2026-01-08 19:00:00,1,22,Confirmado,App,Since government pressure.,19,3,0
3817,CUST588,Jay,Lane,jwilliams@example.com,True,3622871512.0,2026-01-08 20:15:00,10,8,No Presentado,Teléfono,Nation less family particularly.,20,3,2
2625,CUST117,Justin,Brown,rossjimmy@example.net,True,3850326633.0,2026-01-09 12:30:00,2,2,Confirmado,Teléfono,Father provide choice.,12,4,1
2909,CUST1449,Kenneth,Stewart,bellis@example.com,True,7930482391.0,2026-01-09 14:45:00,10,14,Pendiente,Teléfono,Ninguna,14,4,1
2083,CUST1187,Geoffrey,Lee,amandalewis@example.org,True,1371159589.0,2026-01-09 15:15:00,1,30,Confirmado,Sitio Web,Give young each.,15,4,0
3733,CUST1919,Jacob,Wilson,alicia29@example.org,True,4451462114.0,2026-01-09 17:30:00,2,28,Pendiente,Teléfono,In try bit.,17,4,0
2247,CUST893,Dawn,Bennett,christina21@example.org,True,3583211545.0,2026-01-09 17:45:00,10,11,Confirmado,Teléfono,  ,17,4,1
1151,CUST1786,Shirley,Schmidt,karenmanning@example.com,True,6088585544.0,2026-01-09 22:45:00,6,7,Cancelado,Sitio Web,Serve many sometimes.,22,4,1
3576,CUST89,James,Murphy,vhowell@example.net,True,6097730604.0,2026-01-10 13:30:00,4,7,Cancelado,Otra,Ninguna,13,5,1
3293,CUST1055,Justin,Campbell,amydavis@example.com,True,5353018742.0,2026-01-11 18:30:00,4,19,Confirmado,Teléfono,Various herself possible little factor word.,18,6,0
3918,CUST1598,Aaron,Kim,tina81@example.org,True,6543703726.0,2026-01-11 20:00:00,3,16,Pendiente,Sitio Web,Congress picture both center safe.,20,6,0
392,CUST492,Jeff,Jones,tinaallen@example.org,True,,2026-01-12 14:00:00,6,4,Confirmado,Teléfono,Ninguna,14,0,2
3183,CUST227,Jeffrey,Schultz,jessica45@example.net,True,3214986779.0,2026-01-12 16:00:00,5,28,Confirmado,Otra,Ninguna,16,0,2
1054,CUST985,Dawn,Campbell,stevensonamanda@example.org,True,4285599133.0,2026-01-12 16:30:00,6,7,Pendiente,Sitio Web,Occur require guy.,16,0,2
1800,CUST628,Brenda,Thomas,michaelcox@example.org,True,3851775198.0,2026-01-13 15:00:00,10,8,Confirmado,Teléfono,Ninguna,15,1,2
2603,CUST1524,Andrew,Pugh,robbinsdennis@example.com,True,,2026-01-13 16:00:00,9,24,Cancelado,Teléfono,  ,16,1,2
2020,CUST679,Jeremy,Rodriguez,ttorres@example.net,True,2838157516.0,2026-01-13 17:15:00,3,16,Pendiente,App,Door house say born goal.,17,1,0
2421,CUST1261,Scott,Ortiz,jessica31@example.net,True,8432809062.0,2026-01-13 18:15:00,9,11,Confirmado,App,Off it consider about fund present.,18,1,2
415,CUST1248,Aaron,Cox,troy48@example.com,True,2129970703.0,2026-01-13 18:45:00,9,27,Cancelado,App,Ninguna,18,1,2
3202,CUST1757,Daniel,Rivas,kennedyjacqueline@example.com,True,1795969273.0,2026-01-13 20:30:00,7,1,Cancelado,Teléfono,Ninguna,20,1,2
1351,CUST1771,Mark,Hughes,ibailey@example.net,True,,2026-01-14 13:30:00,9,26,Pendiente,Otra,True police between.,13,2,2
2793,CUST593,Lisa,Deleon,panderson@example.org,True,5649743471.0,2026-01-14 20:00:00,4,27,Confirmado,App,Ninguna,20,2,0
3662,CUST1169,Lance,Todd,wongcarolyn.com,False,4244670945.0,2026-01-14 21:30:00,7,6,Cancelado,Teléfono,Ninguna,21,2,2
2870,CUST519,Michael,Palmer,jennifertravis.com,False,5847369980.0,2026-01-15 14:15:00,2,22,Pendiente,Teléfono,  ,14,3,0
2216,CUST817,Becky,Rodriguez,robertandrade@example.net,True,9073366411.0,2026-01-15 15:30:00,1,20,No Presentado,Sitio Web,Ninguna,15,3,0
1498,CUST1334,Alisha,Bernard,christinebrewer@example.net,True,7652547658.0,2026-01-15 16:30:00,4,2,No Presentado,Sitio Web, Step among affect stop. ,16,3,1
1757,CUST1725,Lori,Wilson,no_proporcionado,False,7102943856.0,2026-01-15 20:30:00,8,10,Pendiente,Teléfono,Ninguna,20,3,2
278,CUST409,Madison,Ortega,jameswheeler@example.net,True,5753979782.0,2026-01-16 13:15:00,9,8,No Presentado,Teléfono,Ninguna,13,4,1
1970,CUST932,Whitney,Chavez,foxshelby@example.net,True,7584871634.0,2026-01-16 15:15:00,6,30,Cancelado,Teléfono,Ninguna,15,4,0
440,CUST947,Wendy,Wade,joshua73@example.com,True,2800025277.0,2026-01-16 15:45:00,7,5,Cancelado,App,Ninguna,15,4,1
3329,CUST1950,Amy,Cook,frenchrebecca@example.com,True,,2026-01-16 16:15:00,9,26,Cancelado,Otra,  ,16,4,1
585,CUST992,Kelly,Wade,kristin28@example.com,True,1350034215.0,2026-01-16 17:45:00,5,10,Confirmado,Otra,Ninguna,17,4,1
188,CUST168,Krystal,Johnson,no_proporcionado,False,8626599191.0,2026-01-16 21:00:00,4,8,Cancelado,Teléfono,Ninguna,21,4,0
2565,CUST1809,Jennifer,Reyes,carlajennings@example.org,True,1818142214.0,2026-01-17 16:00:00,5,23,Pendiente,Sitio Web,High education finish instead.,16,5,0
1923,CUST1050,Michael,Smith,cathyrivera@example.org,True,8294405826.0,2026-01-17 20:00:00,1,3,Cancelado,Otra,Ninguna,20,5,0
1476,CUST1517,Wendy,Montes,rmoore@example.com,True,424665907.0,2026-01-17 21:00:00,8,5,Cancelado,Sitio Web,  ,21,5,1
394,CUST376,Lisa,Waters,mmiller@example.com,True,3173160119.0,2026-01-17 21:45:00,5,26,Confirmado,Teléfono,Ninguna,21,5,0
129,CUST614,Dorothy,Vasquez,acostarobert@example.org,True,5295714945.0,2026-01-17 22:45:00,6,26,Confirmado,Teléfono,Ninguna,22,5,0
2254,CUST1944,Heather,Walton,debbieruiz@example.com,True,,2026-01-18 17:00:00,3,12,Confirmado,App,  ,17,6,1
3225,CUST1096,Mariah,Jordan,no_proporcionado,False,4362995472.0,2026-01-18 19:00:00,4,21,Cancelado,Teléfono,Ninguna,19,6,0
153,CUST508,Don,Charles,jorr@example.org,True,5400882859.0,2026-01-18 19:15:00,10,28,Confirmado,Teléfono,Ninguna,19,6,1
2427,CUST1811,Victoria,Baldwin,no_proporcionado,False,4822462906.0,2026-01-19 14:30:00,3,8,Pendiente,Sitio Web,Ninguna,14,0,2
733,CUST831,Ronnie,Lyons,abennett@example.com,True,7673028216.0,2026-01-19 16:15:00,4,22,Confirmado,App,Detail describe sell second shoulder summer.,16,0,2
